sigma_exc,sigma_inh,g_exc,g_inh,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,composite_error,error_message
0.08750000000000001,0.15,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.625,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.75,-0.3,0.2094395102393201,0.9999999999999998,,0.20943950814492507,,0.9508429618463841,,
0.08750000000000001,0.15,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.875,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.875,-0.3,0.0025798691808623696,0.9785694301722861,0.20815152521167463,0.002636368023518249,0.012394188215718499,0.27973899990574225,0.1431392480030703,
0.08750000000000001,0.2,0.5,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,1.0,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,0.875,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.5,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,1.0,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,1.0,-0.3,0.002049375230500323,0.9704252263169526,0.2450343469516573,0.002111832167801304,0.008363624348976036,0.19499476444275624,0.09980365674151372,
0.08750000000000001,0.2,0.5,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.15,1.0,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.625,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.5,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.625,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.75,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.75,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.625,-0.4750000000000001,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.75,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.75,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.875,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,0.875,-0.3,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.08750000000000001,0.2,1.0,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
