composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,0.875 mV,-0.475 mV
0.10451517315076939,0.001070953377526157,0.9717065179297346,0.23958900687946463,0.0011021366500520197,0.004469960418780589,0.20658108014399532,,0.08750000000000001,0.15,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.2,1. mV,-0.475 mV
0.2044190841139075,0.003853920185866407,0.9862569644437542,0.1663630678228314,0.0039076227451167135,0.023165719629374984,0.397227306728995,,0.08750000000000001,0.2,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,1. mV,-0.65 mV
0.33179095075866905,0.00873841261415868,0.9954754219186274,0.09523481422161002,0.008778129860338912,0.09175649352162878,0.6216124261924832,,0.08750000000000001,0.25,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.25,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.08750000000000001,0.3,0.625 mV,-0.65 mV
